5.552893953127022719e-01,5.757027106591247056e-01,9.624639631559110953e-01,4.422504208209245280e-01,4.449984708514440057e-01,9.270919155894624675e-01,6.384177133238378987e-01,6.374939506912713494e-01,9.764353344778258226e-01,5.000000000000000240e-05
5.638352971643143530e-01,5.791789834447206298e-01,9.608739460780488795e-01,4.728732357892010962e-01,4.697459776148745214e-01,9.293235588791614044e-01,6.483879321507186599e-01,6.503471581528850187e-01,9.766064014784334724e-01,2.500000000000000120e-05
5.626052052311277807e-01,5.810496492720403916e-01,9.598450064415926519e-01,4.857568302473131983e-01,4.761086747353364124e-01,9.297495819227532543e-01,6.519487245888903049e-01,6.534275083418579211e-01,9.765924505541513367e-01,1.250000000000000060e-05
5.640295222063964609e-01,5.808389545102515816e-01,9.592441575968967404e-01,4.937847986533730471e-01,4.820574735719945214e-01,9.306642028785980791e-01,6.553800336656739889e-01,6.569743629886126701e-01,9.765895889552245190e-01,6.250000000000000300e-06
5.639647805257024249e-01,5.800612157075982767e-01,9.590106793882392511e-01,4.950796322672536554e-01,4.857454879261915437e-01,9.307776136411796131e-01,6.564159005567784533e-01,6.581701251493313753e-01,9.765392656634916957e-01,3.125000000000000150e-06
5.646769390133368205e-01,5.805588645833639205e-01,9.589948447900819017e-01,4.983167163019551760e-01,4.865571490457982207e-01,9.310473301969683924e-01,6.587466010617635259e-01,6.591353900512345598e-01,9.766105697334496183e-01,1.562500000000000075e-06
5.647416806940308565e-01,5.809094292813901106e-01,9.590022161292316438e-01,4.980577495791790876e-01,4.870939646048681460e-01,9.309630976638334499e-01,6.583581509775994212e-01,6.594413310742350820e-01,9.766183317356728066e-01,7.812500000000000374e-07
5.644179722905606766e-01,5.811003762823130359e-01,9.590059811597411166e-01,4.995468082351418038e-01,4.873831860633905944e-01,9.309220160581451742e-01,6.579697008934352054e-01,6.593782361403356385e-01,9.766158033959559948e-01,3.906250000000000187e-07
5.647416806940308565e-01,5.809926931711247855e-01,9.589682136636048515e-01,5.002589667227761439e-01,4.875279125064942432e-01,9.309626938778158278e-01,6.590703094652337057e-01,6.593840502076987464e-01,9.766125493357817877e-01,1.953125000000000094e-07
5.649359057361129643e-01,5.808795054789213097e-01,9.589584293103541324e-01,4.997410332772238561e-01,4.876610321747185672e-01,9.309482148662894252e-01,6.587466010617635259e-01,6.593314347295344824e-01,9.766092454979896642e-01,9.765625000000000468e-08
5.647416806940308565e-01,5.808751790624573363e-01,9.589499690488324513e-01,5.000000000000000000e-01,4.876540271709537411e-01,9.309442623779686787e-01,6.588113427424575619e-01,6.593768690294989909e-01,9.766093767629538958e-01,4.882812500000000234e-08
5.645474556519487486e-01,5.808854183986227326e-01,9.589480042374201041e-01,5.001942250420821079e-01,4.876663557709954300e-01,9.309457866372866652e-01,6.591350511459277417e-01,6.593991565981059955e-01,9.766109128646408566e-01,2.441406250000000117e-08
5.644827139712547126e-01,5.808976885737469065e-01,9.589464707644945740e-01,5.002589667227761439e-01,4.876790538471770797e-01,9.309432906173865652e-01,6.591350511459277417e-01,6.594165516100232161e-01,9.766095640260312738e-01,1.220703125000000058e-08
